name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"220,168,000,000","195,617,000,000","197,205,000,000","195,350,000,000","195,290,000,000","183,841,000,000","181,476,000,000","179,188,000,000","169,920,000,000","158,818,000,000","154,229,000,000","178,983,000,000","177,934,000,000","166,336,000,000","167,489,000,000","170,446,000,000","156,199,000,000","155,421,000,000","159,422,000,000","167,838,000,000","164,980,000,000","164,612,000,000","171,797,000,000","172,151,000,000","168,558,000,000","168,784,000,000","171,615,000,000","178,430,000,000","170,658,000,000","162,929,000,000","167,460,000,000","170,867,000,000","160,878,000,000","160,640,000,000","169,274,000,000","171,362,000,000","172,612,000,000","171,808,000,000","172,101,000,000","175,521,000,000","179,335,000,000","187,398,000,000","185,798,000,000","182,603,000,000","182,842,000,000","185,683,000,000","188,002,000,000","196,132,000,000","195,899,000,000","194,956,000,000","195,014,000,000","191,415,000,000","191,071,000,000","195,113,000,000","212,949,000,000","141,294,000,000","139,339,000,000","122,932,000,000","111,148,000,000","115,249,000,000","116,515,000,000","118,550,000,000","115,268,000,000","109,030,000,000","110,403,000,000","110,483,000,000","114,837,000,000","108,585,000,000","111,550,000,000","112,959,000,000","117,565,000,000","110,343,000,000","112,327,000,000","122,935,000,000","123,684,000,000","122,229,000,000","119,961,000,000","122,289,000,000","116,775,000,000","120,058,000,000","124,258,000,000","52,928,000,000","46,356,000,000","44,876,000,000","42,568,000,000","41,316,000,000","39,153,000,000","38,806,000,000","36,941,000,000","35,146,000,000","33,510,000,000","33,488,000,000","32,044,000,000","20,225,000,000","20,574,000,000","20,239,000,000","19,640,000,000","19,025,000,000","18,302,000,000","18,177,000,000","16,508,000,000","15,955,000,000","15,336,000,000","15,347,000,000","15,732,000,000","15,053,000,000","14,667,000,000","14,616,000,000","13,619,000,000","13,174,000,000","12,729,300,000","12,821,100,000","12,945,400,000","12,515,300,000","11,098,500,000","10,401,500,000","10,099,900,000","9,640,900,000","9,330,900,000","9,882,400,000","10,018,800,000","9,724,000,000","9,590,100,000","10,130,400,000","9,555,100,000","9,467,600,000","9,634,600,000","9,008,000,000","8,825,600,000","8,813,600,000","9,052,000,000","8,530,200,000","8,100,400,000","7,954,700,000","8,324,800,000","7,637,600,000","6,922,600,000","5,163,700,000","4,462,900,000"
	CurrentAssets,"73,347,000,000","50,078,000,000","51,259,000,000","70,403,000,000","67,466,000,000","54,420,000,000","59,693,000,000","57,900,000,000","48,814,000,000","39,533,000,000","35,067,000,000","47,739,000,000","46,424,000,000","34,738,000,000","32,803,000,000","33,459,000,000","47,073,000,000","45,290,000,000","49,926,000,000","41,583,000,000","37,303,000,000","34,835,000,000","41,141,000,000","40,291,000,000","36,385,000,000","35,878,000,000","38,949,000,000","38,501,000,000","43,845,000,000","41,298,000,000","43,804,000,000","45,001,000,000","51,715,000,000","49,443,000,000","57,702,000,000","56,987,000,000","58,287,000,000","57,793,000,000","56,244,000,000","59,500,000,000","61,435,000,000","64,763,000,000","61,415,000,000","57,127,000,000","58,765,000,000","54,863,000,000","57,728,000,000","62,732,000,000","60,484,000,000","58,244,000,000","60,468,000,000","54,089,000,000","51,101,000,000","49,916,000,000","61,670,000,000","73,784,000,000","71,550,000,000","54,253,000,000","43,076,000,000","48,227,000,000","48,651,000,000","51,011,000,000","46,849,000,000","41,840,000,000","41,622,000,000","42,337,000,000","46,949,000,000","38,721,000,000","40,994,000,000","37,415,000,000","41,896,000,000","32,768,000,000","33,573,000,000","42,353,000,000","39,694,000,000","39,057,000,000","36,685,000,000","35,389,000,000","29,741,000,000","33,067,000,000","34,744,000,000","31,103,000,000","24,781,000,000","23,670,000,000","22,386,000,000","20,970,000,000","18,450,000,000","19,999,000,000","19,598,000,000","18,698,000,000","17,187,000,000","17,168,000,000","15,816,000,000","10,433,000,000","11,191,000,000","11,484,000,000","11,151,000,000","10,749,000,000","9,931,000,000","9,874,000,000","8,259,000,000","7,408,000,000","6,820,000,000","7,239,000,000","7,343,000,000","6,926,000,000","6,468,000,000","6,806,000,000","6,491,000,000","6,406,000,000","6,152,400,000","6,137,000,000","5,982,100,000","5,824,700,000","5,788,400,000","5,425,800,000","5,171,700,000","4,942,900,000","4,733,200,000","5,696,800,000","5,747,200,000","5,435,700,000","5,384,800,000","5,639,800,000","5,003,300,000","4,706,900,000","4,808,200,000","4,363,100,000","4,361,200,000","4,256,200,000","4,435,900,000","3,884,400,000","3,962,800,000","4,046,100,000","4,504,800,000","4,094,800,000","4,100,700,000","2,339,900,000","2,158,000,000"
		CashCashEquivalentsAndShortTermInvestments,"44,785,000,000","19,972,000,000","22,732,000,000","36,123,000,000","33,304,000,000","23,897,000,000","31,069,000,000","29,696,000,000","21,700,000,000","13,667,000,000","12,221,000,000","10,499,000,000","11,382,000,000","10,351,000,000","9,830,000,000","9,087,000,000","12,911,000,000","11,619,000,000","18,833,000,000","17,239,000,000","13,431,000,000","11,421,000,000","19,992,000,000","16,925,000,000","14,333,000,000","14,560,000,000","17,850,000,000","14,371,000,000","20,942,000,000","19,443,000,000","23,290,000,000","20,658,000,000","30,256,000,000","27,708,000,000","36,122,000,000","33,446,000,000","34,054,000,000","33,881,000,000","32,408,000,000","33,679,000,000","33,711,000,000","35,346,000,000","32,708,000,000","22,968,000,000","24,306,000,000","23,972,000,000","26,758,000,000","28,963,000,000","25,484,000,000","24,009,000,000","28,012,000,000","22,464,000,000","19,268,000,000","17,262,000,000","25,969,000,000","52,473,000,000","49,647,000,000","34,052,000,000","23,731,000,000","26,017,000,000","26,179,000,000","28,628,000,000","25,475,000,000","22,298,000,000","22,253,000,000","22,470,000,000","27,713,000,000","12,831,000,000","14,750,000,000","15,502,000,000","22,226,000,000","13,389,000,000","14,569,000,000","21,971,000,000","19,893,000,000","18,678,000,000","17,483,000,000","13,952,000,000","11,952,000,000","14,417,000,000","15,957,000,000","15,505,000,000","12,551,000,000","12,544,000,000","11,336,000,000","9,893,000,000","8,615,000,000","9,463,000,000","9,016,000,000","7,809,000,000","6,863,000,000","7,224,000,000","5,992,000,000","3,780,000,000","4,442,000,000","4,908,000,000","1,223,000,000","1,166,000,000","1,552,000,000","2,723,000,000","1,089,000,000","1,053,000,000","877,000,000","1,190,000,000","1,514,000,000","1,230,000,000","1,150,000,000","1,046,000,000","870,000,000","818,000,000","403,300,000","733,600,000","623,600,000","967,000,000","1,458,500,000","894,200,000","804,100,000","796,800,000","729,400,000","1,227,900,000","1,159,900,000","1,019,000,000","1,257,100,000","1,079,800,000","941,900,000","1,065,600,000","1,317,600,000","673,500,000","675,800,000","608,900,000","870,300,000","307,900,000","399,100,000","388,900,000","825,400,000","807,500,000","1,031,100,000","398,600,000","412,600,000"
			CashAndCashEquivalents,"2,632,000,000","2,166,000,000","416,000,000","1,298,000,000","1,780,000,000","2,470,000,000","1,944,000,000","1,966,000,000","2,372,000,000","1,768,000,000","1,784,000,000","1,587,000,000","1,801,000,000","2,151,000,000","1,305,000,000","2,785,000,000","1,784,000,000","1,937,000,000","1,139,000,000","3,559,000,000","2,704,000,000","2,302,000,000","1,342,000,000","2,779,000,000","2,585,000,000","4,057,000,000","2,595,000,000","2,094,000,000","3,411,000,000","2,561,000,000","3,641,000,000","3,099,000,000","3,670,000,000","3,563,000,000","3,343,000,000","2,437,000,000","3,406,000,000","2,862,000,000","2,183,000,000","2,052,000,000","2,436,000,000","2,134,000,000","10,389,000,000","4,506,000,000","3,031,000,000","2,934,000,000","3,539,000,000","3,706,000,000","3,096,000,000","730,000,000","1,735,000,000","2,176,000,000","1,877,000,000","1,759,000,000","1,978,000,000","4,234,000,000","2,244,000,000","1,247,000,000","2,122,000,000","1,265,000,000","820,000,000","2,013,000,000","3,406,000,000","2,611,000,000","2,138,000,000","2,492,000,000","1,827,000,000","1,177,000,000","1,921,000,000","2,869,000,000","2,247,000,000","959,000,000","1,276,000,000","1,476,000,000","1,808,000,000","1,864,000,000","652,000,000","965,000,000","1,520,000,000","1,610,000,000","2,190,000,000","2,068,000,000","1,878,000,000","1,774,000,000","1,196,000,000","1,332,000,000","1,036,000,000","1,898,000,000","1,295,000,000","1,176,000,000","1,099,000,000","1,341,000,000","1,590,000,000","191,000,000","739,000,000","942,000,000","1,223,000,000","1,166,000,000","1,552,000,000","2,723,000,000","1,089,000,000","1,053,000,000","877,000,000","1,190,000,000","1,514,000,000","1,230,000,000","1,150,000,000","1,046,000,000","870,000,000","818,000,000","403,300,000","733,600,000","623,600,000","967,000,000","1,458,500,000","894,200,000","804,100,000","796,800,000","729,400,000","1,227,900,000","1,159,900,000","1,019,000,000","1,257,100,000","1,079,800,000","941,900,000","1,065,600,000","1,317,600,000","673,500,000","675,800,000","608,900,000","870,300,000","307,900,000","399,100,000","388,900,000","825,400,000","807,500,000","1,031,100,000","398,600,000","412,600,000"
			OtherShortTermInvestments,"42,153,000,000","17,806,000,000","22,316,000,000","34,825,000,000","31,524,000,000","21,427,000,000","29,125,000,000","27,730,000,000","19,328,000,000","11,899,000,000","10,437,000,000","8,912,000,000","9,581,000,000","8,200,000,000","8,525,000,000","6,302,000,000","11,127,000,000","9,682,000,000","17,694,000,000","13,680,000,000","10,727,000,000","9,119,000,000","18,650,000,000","14,146,000,000","11,748,000,000","10,503,000,000","15,255,000,000","12,277,000,000","17,531,000,000","16,882,000,000","19,649,000,000","17,559,000,000","26,586,000,000","24,145,000,000","32,779,000,000","31,009,000,000","30,648,000,000","31,019,000,000","30,225,000,000","31,627,000,000","31,275,000,000","33,212,000,000","22,319,000,000","18,462,000,000","21,275,000,000","21,038,000,000","23,219,000,000","25,257,000,000","22,388,000,000","23,279,000,000","26,277,000,000","20,288,000,000","17,391,000,000","15,503,000,000","23,991,000,000","48,239,000,000","47,403,000,000","32,805,000,000","21,609,000,000","24,752,000,000","25,359,000,000","26,615,000,000","22,069,000,000","19,687,000,000","20,115,000,000","19,978,000,000","25,886,000,000","11,654,000,000","12,829,000,000","12,633,000,000","19,979,000,000","12,430,000,000","13,293,000,000","20,495,000,000","18,085,000,000","16,814,000,000","16,831,000,000","12,987,000,000","10,432,000,000","12,807,000,000","13,767,000,000","13,437,000,000","10,673,000,000","10,770,000,000","10,140,000,000","8,561,000,000","7,579,000,000","7,565,000,000","7,721,000,000","6,633,000,000","5,764,000,000","5,883,000,000","4,402,000,000","3,589,000,000","3,703,000,000","3,966,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"13,425,000,000","15,445,000,000","14,529,000,000","18,620,000,000","17,738,000,000","16,342,000,000","15,745,000,000","15,774,000,000","14,348,000,000","13,283,000,000","11,194,000,000","14,012,000,000","12,554,000,000","13,227,000,000","12,068,000,000","13,169,000,000","13,516,000,000","13,197,000,000","11,399,000,000","13,710,000,000","13,455,000,000","13,076,000,000","11,271,000,000","13,265,000,000","12,589,000,000","11,683,000,000","11,266,000,000","12,661,000,000","12,265,000,000","11,921,000,000","10,838,000,000","9,535,000,000","8,951,000,000","8,920,000,000","8,669,000,000","9,955,000,000","10,388,000,000","9,399,000,000","9,357,000,000","19,206,000,000","21,342,000,000","22,382,000,000","21,574,000,000","21,372,000,000","22,097,000,000","23,543,000,000","23,100,000,000","25,221,000,000","24,925,000,000","24,343,000,000","15,079,000,000","15,076,000,000","14,527,000,000","14,530,000,000","15,840,000,000","11,343,000,000","11,381,000,000","10,389,000,000","9,782,000,000","10,750,000,000","11,286,000,000","11,209,000,000","10,460,000,000","10,468,000,000","10,037,000,000","10,917,000,000","9,906,000,000","9,637,000,000","9,786,000,000","10,797,000,000","10,275,000,000","9,959,000,000","9,829,000,000","10,661,000,000","10,020,000,000","9,813,000,000","9,838,000,000","10,415,000,000","9,166,000,000","8,626,000,000","9,042,000,000","10,960,000,000","6,184,000,000","6,099,000,000","6,273,000,000","6,453,000,000","5,337,000,000","5,679,000,000","5,435,000,000","5,911,000,000","5,489,000,000","5,411,000,000","5,341,000,000","3,882,000,000","3,864,000,000","3,618,000,000","3,396,000,000","3,470,000,000","2,914,000,000","2,860,000,000","3,110,000,000","2,913,000,000","2,527,000,000","2,636,000,000","2,525,000,000","2,528,000,000","2,252,000,000","2,193,000,000","2,133,000,000","2,221,000,000","2,024,000,000","1,998,300,000","2,083,100,000","1,968,400,000","1,665,000,000","1,641,500,000","1,548,600,000","1,570,100,000","1,468,700,000","1,521,300,000","1,513,100,000","1,506,000,000","1,400,300,000","1,586,100,000","1,460,100,000","1,484,000,000","1,403,900,000","1,494,500,000","1,383,600,000","1,490,900,000","1,377,200,000","1,446,500,000","1,280,900,000","1,294,900,000","2,064,900,000","1,167,200,000","1,184,400,000","960,900,000","813,100,000"
			AccountsReceivable,"10,231,000,000","12,305,000,000","10,952,000,000","16,076,000,000","15,155,000,000","13,225,000,000","11,479,000,000","11,897,000,000","10,587,000,000","9,864,000,000","7,930,000,000","10,012,000,000","9,128,000,000","9,881,000,000","8,724,000,000","9,439,000,000","9,793,000,000","9,599,000,000","8,025,000,000","10,024,000,000","9,873,000,000","9,452,000,000","8,221,000,000","10,002,000,000","9,476,000,000","8,892,000,000","8,225,000,000","9,836,000,000","9,138,000,000","9,033,000,000","8,176,000,000","9,535,000,000","8,951,000,000","8,920,000,000","8,669,000,000","9,955,000,000","10,388,000,000","9,399,000,000","9,357,000,000","11,371,000,000","11,523,000,000","12,735,000,000","12,378,000,000","12,523,000,000","12,882,000,000","14,182,000,000","13,608,000,000","15,749,000,000","15,192,000,000","15,182,000,000","14,612,000,000","14,302,000,000","14,012,000,000","13,611,000,000","14,645,000,000","10,552,000,000","10,446,000,000","9,596,000,000","8,958,000,000","9,901,000,000","10,245,000,000","10,432,000,000","9,843,000,000","9,942,000,000","9,497,000,000","10,455,000,000","9,392,000,000","9,177,000,000","9,275,000,000","10,352,000,000","9,765,000,000","9,348,000,000","9,316,000,000","10,074,000,000","9,367,000,000","9,216,000,000","9,342,000,000","10,415,000,000","8,775,000,000","8,626,000,000","8,808,000,000","6,759,000,000","5,785,000,000","6,099,000,000","6,273,000,000","6,453,000,000","5,337,000,000","5,679,000,000","5,435,000,000","5,773,000,000","5,489,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"10,702,000,000","12,770,000,000","11,401,000,000","16,550,000,000","15,616,000,000","13,717,000,000","11,971,000,000","12,391,000,000","11,087,000,000","10,376,000,000","8,438,000,000","10,545,000,000","9,653,000,000","10,408,000,000","9,251,000,000","9,980,000,000","10,333,000,000","10,137,000,000","8,566,000,000","10,591,000,000","10,451,000,000","10,049,000,000","8,805,000,000","10,592,000,000","10,055,000,000","9,480,000,000","8,834,000,000","10,508,000,000","9,808,000,000","9,682,000,000","8,560,000,000","9,951,000,000","9,348,000,000","9,364,000,000","9,081,000,000",,,,"9,835,000,000",,,,"12,752,000,000",,,,"13,835,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-471,000,000","-465,000,000","-449,000,000","-474,000,000","-461,000,000","-492,000,000","-492,000,000","-494,000,000","-500,000,000","-512,000,000","-508,000,000","-533,000,000","-525,000,000","-527,000,000","-527,000,000","-541,000,000","-540,000,000","-538,000,000","-541,000,000","-567,000,000","-578,000,000","-597,000,000","-584,000,000","-590,000,000","-579,000,000","-588,000,000","-609,000,000","-672,000,000","-670,000,000","-649,000,000","-384,000,000","-416,000,000","-397,000,000","-444,000,000","-412,000,000",,,,"-478,000,000",,,,"-374,000,000",,,,"-227,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"51,000,000","184,000,000",,,"467,000,000","774,000,000","515,000,000","919,000,000","1,195,000,000","791,000,000","935,000,000","793,000,000","824,000,000","849,000,000","1,041,000,000","777,000,000","617,000,000","526,000,000","540,000,000","462,000,000","514,000,000","460,000,000","511,000,000","445,000,000","510,000,000","611,000,000","513,000,000","587,000,000","653,000,000","597,000,000","496,000,000",,"391,000,000",,"234,000,000",,"399,000,000",,,,,,,"138,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"462,000,000","406,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"3,194,000,000","3,140,000,000","3,577,000,000","2,544,000,000","2,583,000,000","3,117,000,000","4,266,000,000","3,877,000,000","3,761,000,000","3,419,000,000","3,264,000,000","4,000,000,000","3,426,000,000","3,346,000,000","3,344,000,000","3,730,000,000","3,723,000,000","3,598,000,000","3,374,000,000","3,686,000,000","3,582,000,000","3,624,000,000","3,050,000,000","3,263,000,000","3,113,000,000","2,791,000,000","3,041,000,000","2,825,000,000","3,127,000,000","2,888,000,000","2,662,000,000",,,,,,,,,"7,835,000,000","9,819,000,000","9,647,000,000","9,196,000,000","8,849,000,000","9,215,000,000","9,361,000,000","9,441,000,000","9,288,000,000","9,271,000,000","8,755,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,201,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"10,310,000,000","9,541,000,000","8,981,000,000","9,513,000,000","10,454,000,000","9,979,000,000","9,059,000,000","8,640,000,000","8,948,000,000","8,493,000,000","8,046,000,000","9,295,000,000","8,564,000,000","8,423,000,000","8,283,000,000","8,222,000,000","8,233,000,000","8,029,000,000","7,508,000,000","8,184,000,000","8,074,000,000","8,148,000,000","7,578,000,000","7,925,000,000","7,584,000,000","7,415,000,000","6,783,000,000","7,507,000,000","7,614,000,000","7,578,000,000","7,513,000,000","7,678,000,000","5,796,000,000","5,786,000,000","5,663,000,000","6,355,000,000","6,249,000,000","6,066,000,000","6,166,000,000","6,482,000,000","6,282,000,000","7,035,000,000","7,063,000,000","7,516,000,000","7,001,000,000","7,189,000,000","7,769,000,000","8,426,000,000","8,597,000,000","8,467,000,000","8,405,000,000","8,771,000,000","9,511,000,000","10,132,000,000","12,403,000,000","5,058,000,000","4,993,000,000","4,458,000,000","4,381,000,000","4,788,000,000","5,334,000,000","5,148,000,000","5,302,000,000","5,210,000,000","5,734,000,000","5,694,000,000","6,111,000,000","6,167,000,000","6,392,000,000","6,663,000,000","6,039,000,000","6,556,000,000","6,480,000,000","6,551,000,000","6,660,000,000","6,295,000,000","5,863,000,000","5,942,000,000","5,837,000,000","6,701,000,000","6,733,000,000","2,599,000,000","2,678,000,000","2,909,000,000","2,805,000,000","2,750,000,000","2,741,000,000","2,842,000,000","2,926,000,000","2,889,000,000","2,702,000,000","2,723,000,000","2,597,000,000","1,614,000,000","1,654,000,000","1,638,000,000","1,805,000,000","1,704,000,000","1,828,000,000","1,681,000,000","1,842,000,000","1,837,000,000","1,773,000,000","1,820,000,000","1,664,000,000","1,594,000,000","1,589,000,000","1,614,000,000","1,441,000,000","1,502,000,000","1,384,100,000","1,348,900,000","1,467,400,000","1,407,800,000","1,264,900,000","1,267,600,000","1,239,600,000","1,174,500,000","1,093,500,000","1,128,600,000","1,191,900,000","1,110,800,000","1,067,800,000","1,233,700,000","1,167,600,000","1,165,400,000","1,171,500,000","1,188,700,000","1,202,100,000","1,180,400,000","1,142,600,000","1,215,300,000","1,168,900,000","1,125,300,000","1,080,500,000","1,089,400,000","1,028,200,000","889,200,000","801,400,000"
			RawMaterials,"854,000,000","755,000,000","859,000,000","1,813,000,000","2,041,000,000","1,502,000,000","994,000,000","891,000,000","859,000,000","840,000,000","738,000,000","760,000,000","752,000,000","757,000,000","790,000,000","762,000,000","490,000,000","560,000,000","546,000,000","839,000,000","776,000,000","825,000,000","788,000,000","879,000,000","813,000,000","809,000,000","793,000,000","862,000,000","950,000,000","840,000,000","867,000,000","923,000,000","514,000,000","475,000,000","510,000,000","557,000,000","588,000,000","527,000,000","505,000,000","410,000,000","576,000,000","916,000,000","740,000,000","888,000,000","773,000,000","935,000,000","885,000,000","874,000,000","861,000,000","819,000,000","912,000,000","855,000,000","1,198,000,000","1,364,000,000","1,378,000,000","843,000,000","859,000,000","824,000,000","830,000,000","847,000,000","749,000,000","1,028,000,000","885,000,000","1,022,000,000","1,212,000,000","1,135,000,000","1,262,000,000","1,014,000,000","1,016,000,000","1,199,000,000","1,357,000,000","1,242,000,000","1,256,000,000","1,264,000,000","1,314,000,000","1,306,000,000","1,194,000,000","1,156,000,000","1,310,000,000","1,348,000,000","2,000,000,000","449,000,000","403,000,000","483,000,000","503,000,000","486,000,000","461,000,000","466,000,000","456,000,000","453,000,000","433,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
