name,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,220168000000,195617000000,197205000000,195350000000,195290000000,183841000000,181476000000,179188000000,169920000000,158818000000,154229000000,178983000000,177934000000,166336000000,167489000000,170446000000,156199000000,155421000000,159422000000,167838000000,164980000000,164612000000,171797000000,172151000000,168558000000,168784000000,171615000000,178430000000,170658000000,162929000000,167460000000,170867000000,160878000000,160640000000,169274000000,171362000000,172612000000,171808000000,172101000000,175521000000,179335000000,187398000000,185798000000,182603000000,182842000000,185683000000,188002000000,196132000000,195899000000,194956000000,195014000000,191415000000,191071000000,195113000000,212949000000,141294000000,139339000000,122932000000,111148000000,115249000000,116515000000,118550000000,115268000000,109030000000,110403000000,110483000000,114837000000,108585000000,111550000000,112959000000,117565000000,110343000000,112327000000,122935000000,123684000000,122229000000,119961000000,122289000000,116775000000,120058000000,124258000000,52928000000,46356000000,44876000000,42568000000,41316000000,39153000000,38806000000,36941000000,35146000000,33510000000,33488000000,32044000000,20225000000,20574000000,20239000000,19640000000,19025000000,18302000000,18177000000,16508000000,15955000000,15336000000,15347000000,15732000000,15053000000,14667000000,14616000000,13619000000,13174000000,12729300000,12821100000,12945400000,12515300000,11098500000,10401500000,10099900000,9640900000,9330900000,9882400000,10018800000,9724000000,9590100000,10130400000,9555100000,9467600000,9634600000,9008000000,8825600000,8813600000,9052000000,8530200000,8100400000,7954700000,8324800000,7637600000,6922600000,5163700000,4462900000
CurrentAssets,73347000000,50078000000,51259000000,70403000000,67466000000,54420000000,59693000000,57900000000,48814000000,39533000000,35067000000,47739000000,46424000000,34738000000,32803000000,33459000000,47073000000,45290000000,49926000000,41583000000,37303000000,34835000000,41141000000,40291000000,36385000000,35878000000,38949000000,38501000000,43845000000,41298000000,43804000000,45001000000,51715000000,49443000000,57702000000,56987000000,58287000000,57793000000,56244000000,59500000000,61435000000,64763000000,61415000000,57127000000,58765000000,54863000000,57728000000,62732000000,60484000000,58244000000,60468000000,54089000000,51101000000,49916000000,61670000000,73784000000,71550000000,54253000000,43076000000,48227000000,48651000000,51011000000,46849000000,41840000000,41622000000,42337000000,46949000000,38721000000,40994000000,37415000000,41896000000,32768000000,33573000000,42353000000,39694000000,39057000000,36685000000,35389000000,29741000000,33067000000,34744000000,31103000000,24781000000,23670000000,22386000000,20970000000,18450000000,19999000000,19598000000,18698000000,17187000000,17168000000,15816000000,10433000000,11191000000,11484000000,11151000000,10749000000,9931000000,9874000000,8259000000,7408000000,6820000000,7239000000,7343000000,6926000000,6468000000,6806000000,6491000000,6406000000,6152400000,6137000000,5982100000,5824700000,5788400000,5425800000,5171700000,4942900000,4733200000,5696800000,5747200000,5435700000,5384800000,5639800000,5003300000,4706900000,4808200000,4363100000,4361200000,4256200000,4435900000,3884400000,3962800000,4046100000,4504800000,4094800000,4100700000,2339900000,2158000000
CashCashEquivalentsAndShortTermInvestments,44785000000,19972000000,22732000000,36123000000,33304000000,23897000000,31069000000,29696000000,21700000000,13667000000,12221000000,10499000000,11382000000,10351000000,9830000000,9087000000,12911000000,11619000000,18833000000,17239000000,13431000000,11421000000,19992000000,16925000000,14333000000,14560000000,17850000000,14371000000,20942000000,19443000000,23290000000,20658000000,30256000000,27708000000,36122000000,33446000000,34054000000,33881000000,32408000000,33679000000,33711000000,35346000000,32708000000,22968000000,24306000000,23972000000,26758000000,28963000000,25484000000,24009000000,28012000000,22464000000,19268000000,17262000000,25969000000,52473000000,49647000000,34052000000,23731000000,26017000000,26179000000,28628000000,25475000000,22298000000,22253000000,22470000000,27713000000,12831000000,14750000000,15502000000,22226000000,13389000000,14569000000,21971000000,19893000000,18678000000,17483000000,13952000000,11952000000,14417000000,15957000000,15505000000,12551000000,12544000000,11336000000,9893000000,8615000000,9463000000,9016000000,7809000000,6863000000,7224000000,5992000000,3780000000,4442000000,4908000000,1223000000,1166000000,1552000000,2723000000,1089000000,1053000000,877000000,1190000000,1514000000,1230000000,1150000000,1046000000,870000000,818000000,403300000,733600000,623600000,967000000,1458500000,894200000,804100000,796800000,729400000,1227900000,1159900000,1019000000,1257100000,1079800000,941900000,1065600000,1317600000,673500000,675800000,608900000,870300000,307900000,399100000,388900000,825400000,807500000,1031100000,398600000,412600000
CashAndCashEquivalents,2632000000,2166000000,416000000,1298000000,1780000000,2470000000,1944000000,1966000000,2372000000,1768000000,1784000000,1587000000,1801000000,2151000000,1305000000,2785000000,1784000000,1937000000,1139000000,3559000000,2704000000,2302000000,1342000000,2779000000,2585000000,4057000000,2595000000,2094000000,3411000000,2561000000,3641000000,3099000000,3670000000,3563000000,3343000000,2437000000,3406000000,2862000000,2183000000,2052000000,2436000000,2134000000,10389000000,4506000000,3031000000,2934000000,3539000000,3706000000,3096000000,730000000,1735000000,2176000000,1877000000,1759000000,1978000000,4234000000,2244000000,1247000000,2122000000,1265000000,820000000,2013000000,3406000000,2611000000,2138000000,2492000000,1827000000,1177000000,1921000000,2869000000,2247000000,959000000,1276000000,1476000000,1808000000,1864000000,652000000,965000000,1520000000,1610000000,2190000000,2068000000,1878000000,1774000000,1196000000,1332000000,1036000000,1898000000,1295000000,1176000000,1099000000,1341000000,1590000000,191000000,739000000,942000000,1223000000,1166000000,1552000000,2723000000,1089000000,1053000000,877000000,1190000000,1514000000,1230000000,1150000000,1046000000,870000000,818000000,403300000,733600000,623600000,967000000,1458500000,894200000,804100000,796800000,729400000,1227900000,1159900000,1019000000,1257100000,1079800000,941900000,1065600000,1317600000,673500000,675800000,608900000,870300000,307900000,399100000,388900000,825400000,807500000,1031100000,398600000,412600000
OtherShortTermInvestments,42153000000,17806000000,22316000000,34825000000,31524000000,21427000000,29125000000,27730000000,19328000000,11899000000,10437000000,8912000000,9581000000,8200000000,8525000000,6302000000,11127000000,9682000000,17694000000,13680000000,10727000000,9119000000,18650000000,14146000000,11748000000,10503000000,15255000000,12277000000,17531000000,16882000000,19649000000,17559000000,26586000000,24145000000,32779000000,31009000000,30648000000,31019000000,30225000000,31627000000,31275000000,33212000000,22319000000,18462000000,21275000000,21038000000,23219000000,25257000000,22388000000,23279000000,26277000000,20288000000,17391000000,15503000000,23991000000,48239000000,47403000000,32805000000,21609000000,24752000000,25359000000,26615000000,22069000000,19687000000,20115000000,19978000000,25886000000,11654000000,12829000000,12633000000,19979000000,12430000000,13293000000,20495000000,18085000000,16814000000,16831000000,12987000000,10432000000,12807000000,13767000000,13437000000,10673000000,10770000000,10140000000,8561000000,7579000000,7565000000,7721000000,6633000000,5764000000,5883000000,4402000000,3589000000,3703000000,3966000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Receivables,13425000000,15445000000,14529000000,18620000000,17738000000,16342000000,15745000000,15774000000,14348000000,13283000000,11194000000,14012000000,12554000000,13227000000,12068000000,13169000000,13516000000,13197000000,11399000000,13710000000,13455000000,13076000000,11271000000,13265000000,12589000000,11683000000,11266000000,12661000000,12265000000,11921000000,10838000000,9535000000,8951000000,8920000000,8669000000,9955000000,10388000000,9399000000,9357000000,19206000000,21342000000,22382000000,21574000000,21372000000,22097000000,23543000000,23100000000,25221000000,24925000000,24343000000,15079000000,15076000000,14527000000,14530000000,15840000000,11343000000,11381000000,10389000000,9782000000,10750000000,11286000000,11209000000,10460000000,10468000000,10037000000,10917000000,9906000000,9637000000,9786000000,10797000000,10275000000,9959000000,9829000000,10661000000,10020000000,9813000000,9838000000,10415000000,9166000000,8626000000,9042000000,10960000000,6184000000,6099000000,6273000000,6453000000,5337000000,5679000000,5435000000,5911000000,5489000000,5411000000,5341000000,3882000000,3864000000,3618000000,3396000000,3470000000,2914000000,2860000000,3110000000,2913000000,2527000000,2636000000,2525000000,2528000000,2252000000,2193000000,2133000000,2221000000,2024000000,1998300000,2083100000,1968400000,1665000000,1641500000,1548600000,1570100000,1468700000,1521300000,1513100000,1506000000,1400300000,1586100000,1460100000,1484000000,1403900000,1494500000,1383600000,1490900000,1377200000,1446500000,1280900000,1294900000,2064900000,1167200000,1184400000,960900000,813100000
AccountsReceivable,10231000000,12305000000,10952000000,16076000000,15155000000,13225000000,11479000000,11897000000,10587000000,9864000000,7930000000,10012000000,9128000000,9881000000,8724000000,9439000000,9793000000,9599000000,8025000000,10024000000,9873000000,9452000000,8221000000,10002000000,9476000000,8892000000,8225000000,9836000000,9138000000,9033000000,8176000000,9535000000,8951000000,8920000000,8669000000,9955000000,10388000000,9399000000,9357000000,11371000000,11523000000,12735000000,12378000000,12523000000,12882000000,14182000000,13608000000,15749000000,15192000000,15182000000,14612000000,14302000000,14012000000,13611000000,14645000000,10552000000,10446000000,9596000000,8958000000,9901000000,10245000000,10432000000,9843000000,9942000000,9497000000,10455000000,9392000000,9177000000,9275000000,10352000000,9765000000,9348000000,9316000000,10074000000,9367000000,9216000000,9342000000,10415000000,8775000000,8626000000,8808000000,6759000000,5785000000,6099000000,6273000000,6453000000,5337000000,5679000000,5435000000,5773000000,5489000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossAccountsReceivable,10702000000,12770000000,11401000000,16550000000,15616000000,13717000000,11971000000,12391000000,11087000000,10376000000,8438000000,10545000000,9653000000,10408000000,9251000000,9980000000,10333000000,10137000000,8566000000,10591000000,10451000000,10049000000,8805000000,10592000000,10055000000,9480000000,8834000000,10508000000,9808000000,9682000000,8560000000,9951000000,9348000000,9364000000,9081000000,,,,9835000000,,,,12752000000,,,,13835000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllowanceForDoubtfulAccountsReceivable,-471000000,-465000000,-449000000,-474000000,-461000000,-492000000,-492000000,-494000000,-500000000,-512000000,-508000000,-533000000,-525000000,-527000000,-527000000,-541000000,-540000000,-538000000,-541000000,-567000000,-578000000,-597000000,-584000000,-590000000,-579000000,-588000000,-609000000,-672000000,-670000000,-649000000,-384000000,-416000000,-397000000,-444000000,-412000000,,,,-478000000,,,,-374000000,,,,-227000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51000000,184000000,,,467000000,774000000,515000000,919000000,1195000000,791000000,935000000,793000000,824000000,849000000,1041000000,777000000,617000000,526000000,540000000,462000000,514000000,460000000,511000000,445000000,510000000,611000000,513000000,587000000,653000000,597000000,496000000,,391000000,,234000000,,399000000,,,,,,,138000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NotesReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,462000000,406000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaxesReceivable,3194000000,3140000000,3577000000,2544000000,2583000000,3117000000,4266000000,3877000000,3761000000,3419000000,3264000000,4000000000,3426000000,3346000000,3344000000,3730000000,3723000000,3598000000,3374000000,3686000000,3582000000,3624000000,3050000000,3263000000,3113000000,2791000000,3041000000,2825000000,3127000000,2888000000,2662000000,,,,,,,,,7835000000,9819000000,9647000000,9196000000,8849000000,9215000000,9361000000,9441000000,9288000000,9271000000,8755000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherReceivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4201000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventory,10310000000,9541000000,8981000000,9513000000,10454000000,9979000000,9059000000,8640000000,8948000000,8493000000,8046000000,9295000000,8564000000,8423000000,8283000000,8222000000,8233000000,8029000000,7508000000,8184000000,8074000000,8148000000,7578000000,7925000000,7584000000,7415000000,6783000000,7507000000,7614000000,7578000000,7513000000,7678000000,5796000000,5786000000,5663000000,6355000000,6249000000,6066000000,6166000000,6482000000,6282000000,7035000000,7063000000,7516000000,7001000000,7189000000,7769000000,8426000000,8597000000,8467000000,8405000000,8771000000,9511000000,10132000000,12403000000,5058000000,4993000000,4458000000,4381000000,4788000000,5334000000,5148000000,5302000000,5210000000,5734000000,5694000000,6111000000,6167000000,6392000000,6663000000,6039000000,6556000000,6480000000,6551000000,6660000000,6295000000,5863000000,5942000000,5837000000,6701000000,6733000000,2599000000,2678000000,2909000000,2805000000,2750000000,2741000000,2842000000,2926000000,2889000000,2702000000,2723000000,2597000000,1614000000,1654000000,1638000000,1805000000,1704000000,1828000000,1681000000,1842000000,1837000000,1773000000,1820000000,1664000000,1594000000,1589000000,1614000000,1441000000,1502000000,1384100000,1348900000,1467400000,1407800000,1264900000,1267600000,1239600000,1174500000,1093500000,1128600000,1191900000,1110800000,1067800000,1233700000,1167600000,1165400000,1171500000,1188700000,1202100000,1180400000,1142600000,1215300000,1168900000,1125300000,1080500000,1089400000,1028200000,889200000,801400000
RawMaterials,854000000,755000000,859000000,1813000000,2041000000,1502000000,994000000,891000000,859000000,840000000,738000000,760000000,752000000,757000000,790000000,762000000,490000000,560000000,546000000,839000000,776000000,825000000,788000000,879000000,813000000,809000000,793000000,862000000,950000000,840000000,867000000,923000000,514000000,475000000,510000000,557000000,588000000,527000000,505000000,410000000,576000000,916000000,740000000,888000000,773000000,935000000,885000000,874000000,861000000,819000000,912000000,855000000,1198000000,1364000000,1378000000,843000000,859000000,824000000,830000000,847000000,749000000,1028000000,885000000,1022000000,1212000000,1135000000,1262000000,1014000000,1016000000,1199000000,1357000000,1242000000,1256000000,1264000000,1314000000,1306000000,1194000000,1156000000,1310000000,1348000000,2000000000,449000000,403000000,483000000,503000000,486000000,461000000,466000000,456000000,453000000,433000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WorkInProcess,6409000000,6129000000,5519000000,4540000000,5194000000,4843000000,4424000000,4469000000,4388000000,4364000000,4430000000,5014000000,4810000000,4962000000,4743000000,4866000000,5249000000,5182000000,4701000000,4764000000,4542000000,4485000000,3908000000,4070000000,3860000000,3445000000,3696000000,3965000000,3931000000,3957000000,3932000000,4198000000,3458000000,3414000000,3248000000,3597000000,3445000000,3013000000,3445000000,3601000000,3139000000,3456000000,3794000000,3994000000,3721000000,3315000000,4119000000,3577000000,4189000000,3909000000,3733000000,3799000000,4083000000,4233000000,5776000000,2114000000,1897000000,1483000000,1527000000,1693000000,2407000000,2045000000,2353000000,2495000000,2624000000,2766000000,3198000000,2993000000,3153000000,2905000000,2379000000,2714000000,2844000000,2383000000,2496000000,2469000000,2508000000,2445000000,2219000000,3318000000,2992000000,1143000000,1142000000,1263000000,1086000000,1165000000,1095000000,1139000000,1208000000,1146000000,1074000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FinishedGoods,3048000000,2657000000,2603000000,3159000000,3219000000,3633000000,3641000000,3280000000,3702000000,3289000000,2878000000,3521000000,3002000000,2703000000,2750000000,2594000000,2494000000,2287000000,2262000000,2581000000,2756000000,2838000000,2883000000,2977000000,2911000000,3160000000,2293000000,2680000000,2734000000,2782000000,2714000000,2557000000,1824000000,1898000000,1905000000,2200000000,2216000000,2526000000,2216000000,2471000000,2567000000,2663000000,2529000000,2634000000,2507000000,2939000000,2765000000,3975000000,3547000000,3739000000,3760000000,4117000000,4230000000,4535000000,5249000000,2101000000,2237000000,2151000000,2024000000,2248000000,2178000000,2075000000,2064000000,1693000000,1898000000,1793000000,1651000000,2160000000,2223000000,2559000000,2303000000,2600000000,2380000000,2904000000,2850000000,2520000000,2161000000,2341000000,2308000000,2035000000,1741000000,1007000000,1133000000,1163000000,1216000000,1099000000,1185000000,1237000000,1262000000,1290000000,1195000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherInventories,-1000000,,,1000000,,1000000,,,-1000000,,,,,1000000,,,,,-1000000,,,,-1000000,-1000000,,1000000,1000000,,-1000000,-1000000,,,,-1000000,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PrepaidAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5939000000,5498000000,3749000000,3564000000,3231000000,3157000000,3281000000,3262000000,4302000000,3196000000,2724000000,2506000000,2792000000,2939000000,3958000000,3159000000,3052000000,2786000000,2983000000,3012000000,1752000000,1797000000,1721000000,1698000000,1624000000,1488000000,1774000000,1936000000,2089000000,1993000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RestrictedCash,,,,,,,,,,,,11413000000,11412000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4883000000,4263000000,4214000000,4498000000,4687000000,4869000000,4974000000,4624000000,,,,,,,,,,,,8411000000,7284000000,7113000000,7502000000,6962000000,4679000000,5310000000,5055000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4883000000,4263000000,4214000000,4498000000,4687000000,4869000000,4974000000,4624000000,,,,,,,,,,,,8411000000,7284000000,7113000000,7502000000,6962000000,4679000000,5310000000,5055000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AssetsHeldForSaleCurrent,,,,,,,,,,,167000000,,,,21000000,29000000,9877000000,9877000000,9725000000,,,64000000,12000000,16000000,3000000,3000000,801000000,1119000000,,,,,,,,,,,76000000,133000000,100000000,,70000000,5271000000,5361000000,159000000,101000000,122000000,1478000000,1425000000,561000000,494000000,,490000000,496000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
