name,ttm,06/30/2023,03/31/2023,12/31/2022,09/30/2022,06/30/2022,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,"14,560,000,000","-1,208,000,000","1,212,000,000","8,582,000,000","5,974,000,000","8,170,000,000","6,541,000,000","5,914,000,000","10,829,000,000","11,299,000,000","4,538,000,000","5,625,000,000","2,090,000,000","3,555,000,000","3,133,000,000","3,769,000,000","4,510,000,000","2,611,000,000","1,698,000,000","4,738,000,000","5,259,000,000","3,847,000,000","1,983,000,000","6,742,000,000","4,887,000,000","3,252,000,000","1,589,000,000","5,972,000,000","4,699,000,000","3,579,000,000","1,651,000,000","4,713,000,000","5,024,000,000","4,090,000,000","685,000,000","5,398,000,000","4,463,000,000","4,087,000,000","2,935,000,000","5,786,000,000","5,908,000,000","3,830,000,000","2,241,000,000","5,256,000,000","5,003,000,000","4,021,000,000","2,774,000,000","5,261,000,000","4,439,000,000","5,898,000,000","4,642,000,000","6,258,000,000","6,683,000,000","4,873,000,000","-6,360,000,000","4,825,000,000","4,101,000,000","4,514,000,000","3,147,000,000","5,973,000,000","3,952,000,000","5,042,000,000","3,271,000,000","3,767,000,000","4,678,000,000","3,665,000,000","1,243,000,000","4,476,000,000","4,014,000,000","5,143,000,000","3,961,000,000","4,737,000,000","3,013,000,000","3,809,000,000","3,174,000,000","5,990,000,000","5,176,000,000","3,591,000,000","1,583,000,000","4,396,000,000","2,873,000,000","2,133,000,000","2,337,000,000","3,734,000,000","2,315,000,000","2,560,000,000","1,574,000,000","2,473,000,000","2,580,000,000","2,396,000,000","1,814,000,000","2,650,000,000","2,123,000,000","358,000,000","1,064,000,000","1,278,000,000","1,164,000,000","738,000,000","-124,000,000","1,395,000,000","808,000,000","618,000,000","108,000,000","468,000,000","484,000,000","410,000,000","267,000,000","755,000,000","589,000,000","502,000,000","221,000,000","654,800,000","417,600,000","191,200,000","557,800,000","481,200,000","404,500,000","357,500,000","245,300,000","680,100,000","321,600,000","229,800,000","31,500,000","353,200,000","259,100,000","170,600,000","24,100,000","367,600,000","171,700,000","231,400,000","76,900,000","403,500,000","128,300,000","216,700,000","112,000,000"
	CashFlowFromContinuingOperatingActivities,"14,553,000,000","-1,209,000,000","1,211,000,000","8,582,000,000","5,969,000,000","8,173,000,000","6,543,000,000","6,265,000,000","10,829,000,000","11,300,000,000","4,529,000,000","1,809,000,000","2,090,000,000","3,553,000,000","3,134,000,000","3,769,000,000","4,510,000,000","2,611,000,000","1,698,000,000","4,739,000,000","5,257,000,000","3,848,000,000","1,984,000,000","6,740,000,000","4,887,000,000","3,250,000,000","1,591,000,000","5,973,000,000","4,698,000,000","3,579,000,000","1,651,000,000","4,713,000,000","5,024,000,000","4,091,000,000","684,000,000","5,396,000,000","4,464,000,000","4,087,000,000","2,935,000,000","5,786,000,000","5,908,000,000","3,830,000,000","2,241,000,000","5,256,000,000","5,003,000,000","4,021,000,000","2,774,000,000","5,261,000,000","4,439,000,000","5,898,000,000","4,642,000,000","6,258,000,000","6,683,000,000","4,873,000,000","-6,360,000,000","4,825,000,000","4,101,000,000","4,514,000,000","3,147,000,000","5,979,000,000","3,952,000,000","5,042,000,000","3,271,000,000","3,738,000,000","4,578,000,000","3,586,000,000","1,283,000,000","14,682,000,000","4,051,000,000","5,143,000,000","3,961,000,000","4,737,000,000","3,013,000,000","3,809,000,000","3,174,000,000","5,990,000,000","5,176,000,000","3,591,000,000","1,583,000,000","4,396,000,000","2,873,000,000","2,133,000,000","2,323,000,000","3,415,000,000","2,315,000,000","2,560,000,000","1,574,000,000","2,474,000,000","2,580,000,000","2,423,000,000","1,814,000,000","2,650,000,000","2,123,000,000","358,000,000","1,064,000,000","1,278,000,000","1,184,000,000","738,000,000","-124,000,000","1,612,000,000","587,000,000","618,000,000","108,000,000","468,000,000","484,000,000","410,000,000","267,000,000","755,000,000","589,000,000","502,000,000","221,000,000","654,800,000","417,600,000","191,200,000","557,800,000","481,200,000","404,500,000","357,500,000","245,300,000","680,100,000","321,600,000","229,800,000","31,500,000","353,200,000","259,100,000","170,600,000","24,100,000","367,600,000","171,700,000","231,400,000","76,900,000","403,500,000","128,300,000","216,700,000","112,000,000"
		NetIncomeFromContinuingOperations,"21,540,000,000","2,340,000,000","5,555,000,000","5,001,000,000","8,644,000,000","9,877,000,000","7,879,000,000","3,850,000,000","8,166,000,000","5,566,000,000","4,877,000,000","-2,025,000,000","2,201,000,000","3,435,000,000","3,410,000,000","-326,000,000","7,683,000,000","5,056,000,000","3,889,000,000","-383,000,000","4,122,000,000","3,879,000,000","3,570,000,000","12,289,000,000","2,858,000,000","3,078,000,000","3,130,000,000","866,000,000","1,319,000,000","2,035,000,000","3,026,000,000","-169,000,000","2,138,000,000","2,636,000,000","2,381,000,000","1,236,000,000","2,673,000,000","2,921,000,000","2,338,000,000","2,574,000,000","2,599,000,000","14,134,000,000","2,765,000,000","6,321,000,000","3,214,000,000","3,260,000,000","1,803,000,000","1,450,000,000","3,749,000,000","2,618,000,000","2,234,000,000","2,898,000,000","871,000,000","2,485,000,000","2,035,000,000","767,000,000","2,881,000,000","2,267,000,000","2,729,000,000","266,000,000","2,278,000,000","2,776,000,000","2,784,000,000","2,724,000,000","761,000,000","1,267,000,000","3,392,000,000","9,449,000,000","3,362,000,000","2,415,000,000","4,111,000,000","2,733,000,000","1,589,000,000","3,462,000,000","301,000,000","2,825,000,000","3,341,000,000","2,864,000,000","2,331,000,000","602,000,000","2,235,000,000","-3,592,000,000","4,665,000,000","2,856,000,000","2,350,000,000","1,564,000,000","2,356,000,000","1,957,000,000","2,073,000,000","1,792,000,000","1,930,000,000","1,412,000,000","1,361,000,000","-235,000,000","1,180,000,000","954,000,000","701,000,000","709,000,000","815,000,000","634,000,000","1,397,000,000","628,000,000","692,000,000","558,000,000","596,000,000","457,000,000","602,000,000","504,000,000","514,000,000","394,000,000","517,000,000","410,900,000","425,300,000","316,300,000","420,400,000","334,000,000","336,500,000","257,200,000","370,700,000","288,900,000","-214,200,000","253,800,000","329,000,000","297,100,000","297,500,000","203,800,000","295,100,000","900,000","274,700,000","179,100,000","267,400,000","154,800,000","243,300,000","151,200,000","251,900,000"
		OperatingGainsLosses,,,,,,,,,,,,"0","0","0","-6,000,000","429,000,000","-8,349,000,000","-162,000,000","-151,000,000","1,000,000,000","-1,002,000,000","-2,000,000","3,000,000","3,000,000","-12,000,000","27,000,000","37,000,000","63,000,000","82,000,000","-4,000,000","-853,000,000","999,000,000","38,000,000","32,000,000","-874,000,000","14,000,000","1,000,000","-91,000,000","-99,000,000","55,000,000","38,000,000","-10,508,000,000","-490,000,000",,,,,"10,000,000",,,,,,"0","74,000,000",,,,,,,,"375,000,000","-237,000,000","-10,000,000","-352,000,000","273,000,000","-545,000,000","-56,000,000","277,000,000","91,000,000","-354,000,000","1,549,000,000","223,000,000","1,282,000,000","968,000,000","-27,000,000","270,000,000","1,116,000,000","452,000,000","824,000,000","5,308,000,000","-2,050,000,000","-332,000,000","32,000,000","351,000,000","33,000,000","-122,000,000","45,000,000","-166,000,000","51,000,000","-235,000,000","107,000,000","158,000,000","-59,000,000","290,000,000","-4,000,000","29,000,000","-5,000,000","-5,000,000","-879,000,000","-7,000,000","-187,000,000",,,"-177,000,000","-449,000,000",,,,,,,,"18,600,000",,,,,,,,"-11,300,000",,,,,,,,,"-67,100,000","0","0","-39,000,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,000,000","0",,,"14,000,000","1,000,000",,,"55,000,000","38,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","31,000,000","-490,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,"0","0","0","0","0","0","0","-6,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,"-147,000,000","-1,225,000,000","-170,000,000","-248,000,000","93,000,000","-116,000,000","-162,000,000","-151,000,000","-95,000,000","-174,000,000","-134,000,000","-692,000,000","81,000,000","37,000,000","-93,000,000","-986,000,000","63,000,000","82,000,000","-4,000,000","-853,000,000","187,000,000","38,000,000","32,000,000","-874,000,000","9,000,000","-84,000,000","-25,000,000","-99,000,000","52,000,000","94,000,000","93,000,000","71,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"5,762,000,000","1,573,000,000","1,487,000,000","1,519,000,000","1,183,000,000","1,175,000,000","1,187,000,000","1,277,000,000","1,360,000,000","1,328,000,000","1,226,000,000","1,046,000,000","1,262,000,000","1,251,000,000","1,218,000,000","1,384,000,000","1,553,000,000","1,528,000,000","1,545,000,000","1,641,000,000","1,614,000,000","1,562,000,000","1,567,000,000","1,574,000,000","1,566,000,000","1,574,000,000","1,555,000,000","1,549,000,000","1,396,000,000","1,387,000,000","1,425,000,000","1,424,000,000","1,272,000,000","1,201,000,000","1,260,000,000","1,331,000,000","1,326,000,000","1,424,000,000","1,456,000,000","1,592,000,000","1,521,000,000","1,523,000,000","1,774,000,000","1,895,000,000","1,714,000,000","1,750,000,000","2,252,000,000","2,370,000,000","2,247,000,000","2,305,000,000","2,104,000,000","1,994,000,000","2,229,000,000","2,213,000,000","2,051,000,000","1,774,000,000","969,000,000","1,006,000,000","1,008,000,000","1,178,000,000","1,196,000,000","1,229,000,000","1,487,000,000","1,116,000,000","1,372,000,000","1,441,000,000","1,271,000,000","1,267,000,000","1,332,000,000","1,343,000,000","1,351,000,000","1,433,000,000","1,367,000,000","1,410,000,000","1,366,000,000","1,311,000,000","1,265,000,000","1,256,000,000","1,261,000,000","1,751,000,000","1,105,000,000","953,000,000","269,000,000","225,000,000","275,000,000","265,000,000","271,000,000","296,000,000","250,000,000","268,000,000","254,000,000","261,000,000","234,000,000","326,000,000","147,000,000","161,000,000","137,000,000","116,000,000","128,000,000","45,000,000","176,000,000","134,000,000","134,000,000","130,000,000","128,000,000","130,000,000","114,000,000","121,000,000","102,000,000","106,000,000","101,000,000","107,800,000","85,300,000","65,300,000","115,600,000","78,400,000","74,100,000","68,400,000","71,100,000","67,000,000","66,000,000","63,100,000","62,100,000","64,800,000","68,900,000","64,500,000","65,700,000","59,700,000","61,000,000","62,100,000","61,300,000","56,300,000","56,700,000","54,700,000","57,100,000"
			DepreciationAndAmortization,"5,762,000,000","1,573,000,000","1,487,000,000","1,519,000,000","1,183,000,000","1,175,000,000","1,187,000,000","1,277,000,000","1,360,000,000","1,328,000,000","1,226,000,000","1,046,000,000","1,262,000,000","1,251,000,000","1,218,000,000","1,384,000,000","1,553,000,000","1,528,000,000","1,545,000,000","1,641,000,000","1,614,000,000","1,562,000,000","1,567,000,000","1,574,000,000","1,566,000,000","1,574,000,000","1,555,000,000","1,549,000,000","1,396,000,000","1,387,000,000","1,425,000,000","1,424,000,000","1,272,000,000","1,201,000,000","1,260,000,000","1,331,000,000","1,326,000,000","1,424,000,000","1,456,000,000","1,592,000,000","1,521,000,000","1,523,000,000","1,774,000,000","1,895,000,000","1,714,000,000","1,750,000,000","2,252,000,000","2,370,000,000","2,247,000,000","2,305,000,000","2,104,000,000","1,994,000,000","2,229,000,000","2,213,000,000","2,051,000,000","1,774,000,000","969,000,000","1,006,000,000","1,008,000,000","1,178,000,000","1,196,000,000","1,229,000,000","1,487,000,000","1,116,000,000","1,372,000,000","1,441,000,000","1,271,000,000","1,267,000,000","1,332,000,000","1,343,000,000","1,351,000,000","1,433,000,000","1,367,000,000","1,410,000,000","1,366,000,000","1,311,000,000","1,265,000,000","1,256,000,000","1,261,000,000","1,751,000,000","1,105,000,000","953,000,000","269,000,000","225,000,000","275,000,000","265,000,000","271,000,000","296,000,000","250,000,000","268,000,000","254,000,000","261,000,000","234,000,000","326,000,000","147,000,000","161,000,000","137,000,000","116,000,000","128,000,000","45,000,000","176,000,000","134,000,000","134,000,000","130,000,000","128,000,000","130,000,000","114,000,000","121,000,000","102,000,000","106,000,000","101,000,000","107,800,000","85,300,000","65,300,000","115,600,000","78,400,000","74,100,000","68,400,000","71,100,000","67,000,000","66,000,000","63,100,000","62,100,000","64,800,000","68,900,000","64,500,000","65,700,000","59,700,000","61,000,000","62,100,000","61,300,000","56,300,000","56,700,000","54,700,000","57,100,000"
		DeferredTax,"-1,774,000,000","-873,000,000","-598,000,000","-365,000,000","62,000,000","-1,140,000,000","-2,321,000,000","-591,000,000","-3,749,000,000","-152,000,000","199,000,000","-871,000,000","-668,000,000","-38,000,000","109,000,000","-1,453,000,000","2,227,000,000","-100,000,000","-60,000,000","-1,231,000,000","-474,000,000","-794,000,000","294,000,000","-2,651,000,000","-79,000,000","282,000,000","38,000,000","635,000,000","-1,325,000,000","194,000,000","-204,000,000","147,000,000","18,000,000","-142,000,000","-41,000,000","-449,000,000","-85,000,000","506,000,000","345,000,000","59,000,000","409,000,000","308,000,000","927,000,000","2,078,000,000","226,000,000","298,000,000","-404,000,000","-414,000,000","363,000,000","625,000,000","-120,000,000","676,000,000","-333,000,000","770,000,000","840,000,000","-10,703,000,000","390,000,000","198,000,000","533,000,000","-1,911,000,000","141,000,000","-105,000,000","544,000,000","-819,000,000","-1,018,000,000","-683,000,000","-268,000,000","-679,000,000","-873,000,000","321,000,000","-714,000,000","-1,097,000,000","-152,000,000","-611,000,000","484,000,000","-1,108,000,000","-249,000,000","62,000,000","-284,000,000",,,,,,,,,,,,,"-453,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-1,774,000,000","-873,000,000","-598,000,000","-365,000,000","62,000,000","-1,140,000,000","-2,321,000,000","-591,000,000","-3,749,000,000","-152,000,000","199,000,000","-871,000,000","-668,000,000","-38,000,000","109,000,000","-1,453,000,000","2,227,000,000","-100,000,000","-60,000,000","-1,231,000,000","-474,000,000","-794,000,000","294,000,000","-2,651,000,000","-79,000,000","282,000,000","38,000,000","635,000,000","-1,325,000,000","194,000,000","-204,000,000","147,000,000","18,000,000","-142,000,000","-41,000,000","-449,000,000","-85,000,000","506,000,000","345,000,000","59,000,000","409,000,000","308,000,000","927,000,000","2,078,000,000","226,000,000","298,000,000","-404,000,000","-414,000,000","363,000,000","625,000,000","-120,000,000","676,000,000","-333,000,000","770,000,000","840,000,000","-10,703,000,000","390,000,000","198,000,000","533,000,000","-1,911,000,000","141,000,000","-105,000,000","544,000,000","-819,000,000","-1,018,000,000","-683,000,000","-268,000,000","-679,000,000","-873,000,000","321,000,000","-714,000,000","-1,097,000,000","-152,000,000","-611,000,000","484,000,000","-1,108,000,000","-249,000,000","62,000,000","-284,000,000",,,,,,,,,,,,,"-453,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,"819,000,000","57,000,000","270,000,000","263,000,000","229,000,000","27,000,000","31,000,000","161,000,000","38,000,000","31,000,000","46,000,000","1,059,000,000","932,000,000","13,000,000","45,000,000","2,729,000,000","46,000,000","23,000,000","155,000,000","3,310,000,000","47,000,000","34,000,000","7,000,000","308,000,000","229,000,000","62,000,000","35,000,000","757,000,000","1,585,000,000","837,000,000","146,000,000","255,000,000","822,000,000","31,000,000","11,000,000","117,000,000","225,000,000","52,000,000","137,000,000","442,000,000","278,000,000","135,000,000","513,000,000","434,000,000",,,,,"200,000,000","408,000,000","165,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"752,000,000","148,000,000","105,000,000","364,000,000","135,000,000","287,000,000","86,000,000","495,000,000","293,000,000","222,000,000","172,000,000","264,000,000","234,000,000","194,000,000","64,000,000","270,000,000","64,000,000","199,000,000","185,000,000","267,000,000","303,000,000","197,000,000","182,000,000","245,000,000","207,000,000","170,000,000","218,000,000","159,000,000","145,000,000","244,000,000","143,000,000","181,000,000","141,000,000","185,000,000","162,000,000","162,000,000","143,000,000","138,000,000","143,000,000","105,000,000","126,000,000","103,000,000","189,000,000","119,000,000","115,000,000","117,000,000","130,000,000","72,000,000","103,000,000","122,000,000","122,000,000","54,000,000","108,000,000","105,000,000","138,000,000","91,000,000","89,000,000","98,000,000","71,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"-2,161,000,000","-537,000,000","-100,000,000","-1,349,000,000","-175,000,000","715,000,000","409,000,000","-917,000,000","-1,694,000,000","-1,421,000,000","-664,000,000","-470,000,000","-1,020,000,000","-652,000,000","-126,000,000","-804,000,000","-194,000,000","-229,000,000","-518,000,000","-1,381,000,000","-160,000,000","-494,000,000","-925,000,000","-9,966,000,000","-91,000,000","-313,000,000","-1,199,000,000","203,000,000","-19,000,000","-63,000,000","-624,000,000","211,000,000","48,000,000","173,000,000","-1,209,000,000","45,000,000","-250,000,000","-30,000,000","-393,000,000","39,000,000","-25,000,000","16,000,000","-44,000,000","-36,000,000","-656,000,000","73,000,000","551,000,000","-509,000,000","-27,000,000","155,000,000","-385,000,000","-2,774,000,000","1,448,000,000","422,000,000","319,000,000","459,000,000","47,000,000","293,000,000","-295,000,000","57,000,000","250,000,000","886,000,000","343,000,000","574,000,000","2,633,000,000","346,000,000","202,000,000","1,683,000,000","141,000,000","520,000,000","25,000,000",,,,,,,,,,,,,,,,,,,,,,,,,"848,000,000","350,000,000","-116,000,000","-1,062,000,000",,"-107,000,000","-137,000,000","-531,000,000",,,,,,"-434,000,000","5,000,000","7,000,000","-150,400,000","52,200,000",,,,"11,600,000","6,800,000","-8,800,000",,"751,200,000","-27,400,000","19,900,000",,"-22,500,000","-22,700,000","-18,600,000",,"-16,000,000","-19,300,000","-21,500,000",,"-7,400,000","-24,400,000","-6,500,000"
		ChangeInWorkingCapital,"-10,383,000,000","-3,916,000,000","-5,507,000,000","3,149,000,000","-4,109,000,000","-2,766,000,000","-730,000,000","1,988,000,000","6,418,000,000","5,725,000,000","-1,327,000,000","2,805,000,000","-851,000,000","-648,000,000","-1,581,000,000","1,540,000,000","1,480,000,000","-3,553,000,000","-3,498,000,000","1,515,000,000","809,000,000","-535,000,000","-2,715,000,000","4,940,000,000","209,000,000","-1,628,000,000","-2,225,000,000","1,803,000,000","1,598,000,000","-1,055,000,000","-2,261,000,000","1,852,000,000","585,000,000","6,000,000","-1,879,000,000","2,942,000,000","430,000,000","-858,000,000","-1,091,000,000","920,000,000","962,000,000","-1,881,000,000","-3,393,000,000","1,568,000,000","-475,000,000","-1,477,000,000","-1,558,000,000","3,055,000,000","-513,000,000","-335,000,000","522,000,000","79,000,000","2,434,000,000","-1,122,000,000","-11,817,000,000","13,039,000,000","-275,000,000","652,000,000","-899,000,000","6,403,000,000","87,000,000","631,000,000","-2,262,000,000","380,000,000","840,000,000","1,567,000,000","-3,587,000,000","3,507,000,000","145,000,000","267,000,000","-903,000,000","1,688,000,000","-1,340,000,000","-675,000,000","-259,000,000","1,994,000,000","846,000,000","-861,000,000","-2,841,000,000","1,695,000,000","-1,291,000,000","-536,000,000","-561,000,000","1,051,000,000","-342,000,000","380,000,000","-1,086,000,000","126,000,000","212,000,000","529,000,000","-421,000,000","1,665,000,000","233,000,000","109,000,000","-204,000,000",,,,,,,,,,,,,,,"-3,000,000","-404,000,000","222,200,000","-145,200,000","-157,800,000","3,200,000","51,700,000","-17,700,000","25,100,000","-187,700,000","641,000,000","-281,400,000","-71,000,000","-368,200,000","107,300,000","-76,200,000","-83,600,000","-318,100,000","26,100,000","-148,000,000","9,500,000","-230,300,000","221,200,000","-164,300,000","35,200,000","-151,500,000"
